word_count,char_count,has_urgency_keyword,exclamation_count,question_mark_count,caps_ratio,sentiment_polarity,mention_count,priority
19.0,109.0,0,0.0,1.0,0.0,0.0,2.0,NORMAL
25.0,128.0,0,0.0,0.0,0.04,-0.75,0.0,NORMAL
10.0,58.0,0,0.0,0.0,0.0,0.2681818181818182,0.0,NORMAL
21.0,119.0,0,0.0,0.0,0.0,-0.38333333333333336,1.0,URGENT
24.0,138.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
13.0,65.0,0,0.0,0.0,0.07692307692307693,-1.0,0.0,NORMAL
16.0,114.0,1,0.0,0.0,0.0,-0.3,0.0,URGENT
33.0,193.0,0,1.0,2.0,0.0,0.0,1.0,NORMAL
22.0,139.0,0,0.0,0.0,0.0,-0.26666666666666666,1.0,NORMAL
16.0,91.0,0,0.0,1.0,0.0,-0.15,1.0,URGENT
25.0,144.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
6.0,35.0,0,1.0,0.0,0.0,0.0,0.0,URGENT
15.0,78.0,1,0.0,0.0,0.0,0.07500000000000001,0.0,URGENT
21.0,114.0,0,0.0,0.0,0.047619047619047616,-0.05,0.0,NORMAL
7.0,35.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
25.0,139.0,0,0.0,4.0,0.0,-0.05,0.0,NORMAL
17.0,123.0,0,0.0,0.0,0.0,-1.0,0.0,NORMAL
1.0,21.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
8.0,34.0,0,0.0,1.0,0.0,0.0,0.0,NORMAL
8.0,50.0,0,0.0,1.0,0.0,0.0,0.0,URGENT
20.0,100.0,0,0.0,0.0,0.0,-0.1,0.0,NORMAL
15.0,89.0,0,1.0,0.0,0.0,0.6,1.0,NORMAL
38.0,191.0,0,0.0,2.0,0.0,0.16666666666666666,0.0,NORMAL
3.0,17.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
23.0,127.0,1,0.0,0.0,0.0,0.13636363636363635,0.0,URGENT
12.0,62.0,0,0.0,0.0,0.0,-0.07142857142857142,0.0,NORMAL
5.0,26.0,0,0.0,1.0,0.0,-0.4,0.0,NORMAL
20.0,125.0,1,0.0,1.0,0.0,0.0,4.0,URGENT
10.0,68.0,0,0.0,0.0,0.0,0.0,2.0,NORMAL
29.0,152.0,0,0.0,0.0,0.034482758620689655,-0.2,1.0,URGENT
20.0,117.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
10.0,79.0,0,0.0,0.0,0.0,0.13636363636363635,1.0,NORMAL
29.0,132.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
